run_id,type,final_t,final_nS,final_nR,max_nS,max_nR,total_steps,eradicated,resistance,mean_k2,total_kl_cost
336,uncontrolled,6.50801,0,0,50,2,131,1,0,1.5,0.0
337,uncontrolled,3.92066,0,0,52,1,141,1,0,1.5,0.0
338,uncontrolled,39.99996,0,160946,51,160948,354667,0,1,1.5,0.0
339,uncontrolled,3.30426,0,0,51,3,155,1,0,1.5,0.0
340,uncontrolled,7.77626,0,0,51,1,181,1,0,1.5,0.0
341,uncontrolled,39.99995,0,16464,50,16464,36747,0,1,1.5,0.0
342,uncontrolled,6.80028,0,0,50,1,129,1,0,1.5,0.0
343,uncontrolled,7.85509,0,0,50,1,195,1,0,1.5,0.0
344,uncontrolled,2.92399,0,0,51,1,101,1,0,1.5,0.0
345,uncontrolled,39.99415,0,131,52,131,528,0,1,1.5,0.0
346,uncontrolled,9.45339,0,0,50,2,131,1,0,1.5,0.0
347,uncontrolled,39.99994,0,17365,54,17365,38944,0,1,1.5,0.0
348,uncontrolled,4.87899,0,0,51,1,183,1,0,1.5,0.0
349,uncontrolled,39.99998,0,131766,50,131766,289851,0,1,1.5,0.0
350,uncontrolled,39.99997,0,20680,50,20681,45889,0,1,1.5,0.0
351,uncontrolled,4.54798,0,0,51,1,193,1,0,1.5,0.0
352,uncontrolled,39.99996,0,18451,50,18451,40290,0,1,1.5,0.0
353,uncontrolled,5.62077,0,0,51,2,173,1,0,1.5,0.0
354,uncontrolled,40.0,0,152786,52,152786,335574,0,1,1.5,0.0
355,uncontrolled,3.43736,0,0,52,1,161,1,0,1.5,0.0
356,uncontrolled,39.99993,0,1722,52,1722,3897,0,1,1.5,0.0
357,uncontrolled,39.99998,0,48502,50,48502,106107,0,1,1.5,0.0
